,id,pid,ms_subclass,ms_zoning,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,exterior_qc,basment_qc,overall_qc,garage_qc,mo_yr_sold,garage_car_area,gr_area_rooms,gr_bed_bath,overall_qual_gr_area,overall_qc_gr_area
10,1044,527451290,160,RM,1680,Pave,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,1.0,5.0,387.0,1.0,0.0,96.0,483.0,GasA,3,1,4,483,504,0,987,0.0,0.0,1,1,2,1,3,4,7,0,0.0,1.0,1.0,264.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,7,2008,COD,85400,9,9.0,30,9.0,14056,264.0,3948,2,5922,29610
11,2752,906380150,20,RL,7488,Pave,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,393.0,1.0,0.0,815.0,1208.0,GasA,5,1,4,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,7,0,0.0,0.0,2.0,632.0,3.0,3.0,2,105,58,0,0,0,0,0.0,0.0,0,2,2006,WD ,183600,12,12.0,35,9.0,4012,1264.0,7248,4,8456,42280
12,807,906226060,70,RL,26400,Pave,3,Bnk,3,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,1,4,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,4,1,3.0,1.0,2.0,576.0,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,0,6,2009,WD ,131000,12,0.0,35,9.0,12054,1152.0,14112,4,10080,70560
13,1177,533236070,160,FV,2645,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,1.0,6.0,813.0,1.0,0.0,147.0,960.0,GasA,5,1,4,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,7,0,0.0,1.0,2.0,480.0,3.0,3.0,2,169,0,0,0,0,0,0.0,0.0,0,12,2008,ConLD,200000,12,12.0,40,9.0,24096,960.0,11249,6,12856,64280
14,1480,907418040,20,RL,9627,Pave,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,6.0,24.0,1.0,0.0,1327.0,1351.0,GasA,5,1,4,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,7,0,0.0,0.0,2.0,610.0,3.0,3.0,2,0,50,0,0,0,0,0.0,0.0,0,6,2008,WD ,193000,12,12.0,35,9.0,12048,1220.0,8166,6,9527,47635
15,324,923202105,20,RL,10114,Pave,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1430.0,1430.0,GasA,5,1,4,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,7,0,0.0,0.0,2.0,624.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,3,2010,WD ,173500,9,15.0,25,9.0,6030,1248.0,10010,6,7150,35750
16,1311,902301140,70,RM,4571,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,624.0,624.0,GasA,2,0,4,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,7,0,0.0,1.0,3.0,513.0,2.0,2.0,2,0,0,96,0,0,0,0.0,0.0,0,5,2008,COD,98000,9,9.0,25,4.0,10040,1539.0,9408,4,6720,33600
17,770,905101490,20,RL,8816,Pave,3,Lvl,3,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,3.0,651.0,1.0,0.0,470.0,1121.0,GasA,3,1,4,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,7,0,0.0,1.0,2.0,480.0,3.0,3.0,2,0,80,0,0,0,0,0.0,3.0,0,6,2009,WD ,139000,9,9.0,30,9.0,12054,960.0,5605,3,5605,33630
18,2063,905107140,20,RL,8197,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5,1,4,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,7,1,3.0,0.0,2.0,528.0,3.0,3.0,2,138,0,0,0,0,0,0.0,3.0,0,4,2007,WD ,143500,9,9.0,30,9.0,8028,1056.0,8995,3,7710,38550
19,69,528458070,60,FV,8640,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,2.0,6.0,24.0,1.0,0.0,732.0,756.0,GasA,5,1,4,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,7,0,0.0,1.0,2.0,614.0,3.0,3.0,2,169,45,0,0,0,0,0.0,0.0,0,6,2010,Con,215200,9,12.0,35,9.0,12060,1228.0,10829,6,10829,54145
20,2062,905106150,20,RL,8724,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,1.0,4.0,492.0,1.0,0.0,402.0,894.0,GasA,4,1,4,894,0,0,894,0.0,0.0,1,0,3,1,3,5,7,1,1.0,3.0,2.0,450.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,5,2007,WD ,129000,9,12.0,25,9.0,10035,900.0,4470,3,4470,22350
21,351,527131030,120,RL,5664,Pave,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,1158.0,1.0,0.0,343.0,1501.0,GasA,5,1,4,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,7,1,5.0,3.0,2.0,499.0,3.0,3.0,2,212,59,0,0,0,0,0.0,0.0,0,10,2009,WD ,278000,12,12.0,40,9.0,20090,998.0,8295,4,13272,66360
23,12,527165230,20,RL,7980,Pave,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4.0,3.0,1.0,5.0,935.0,1.0,0.0,233.0,1168.0,GasA,5,1,4,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,7,0,0.0,3.0,2.0,420.0,3.0,3.0,2,483,21,0,0,0,0,0.0,4.0,500,3,2010,WD ,185000,12,12.0,42,9.0,6030,840.0,7122,6,7122,49854
24,2339,527250040,190,RL,34650,Pave,3,Bnk,3,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,3.0,1056.0,1.0,0.0,0.0,1056.0,GasA,3,0,4,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,7,0,0.0,3.0,2.0,572.0,3.0,3.0,2,264,0,0,0,0,0,0.0,0.0,0,1,2006,WD ,145000,9,9.0,25,9.0,2006,1144.0,5280,3,5280,26400
25,624,535104120,20,RL,10573,Pave,2,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3.0,3.0,1.0,3.0,1312.0,1.0,0.0,141.0,1453.0,GasA,5,1,4,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,7,1,3.0,0.0,2.0,530.0,3.0,3.0,2,0,49,0,0,288,0,0.0,4.0,0,4,2009,WD ,187500,9,9.0,36,9.0,8036,1060.0,8718,6,8718,52308
26,86,532376160,20,RL,8450,Pave,3,Lvl,3,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,894.0,GasA,5,1,4,894,0,0,894,1.0,0.0,1,0,3,1,3,5,7,1,4.0,1.0,1.0,336.0,3.0,3.0,2,416,144,0,0,0,0,0.0,3.0,0,4,2010,WD ,138500,12,9.0,40,9.0,8040,336.0,4470,3,4470,35760
27,1534,909277040,50,RL,11700,Pave,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,606.0,1.0,0.0,336.0,942.0,GasA,5,1,4,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,5,1,4.0,1.0,1.0,240.0,3.0,3.0,2,0,40,0,0,0,0,0.0,0.0,0,7,2008,WD ,198000,9,9.0,30,9.0,14056,240.0,13566,8,9690,58140
28,2243,911103060,190,C (all),8250,Pave,3,Lvl,3,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,957.0,957.0,GasA,2,0,4,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,133,0,0,0,0.0,0.0,0,6,2007,WD ,119600,12,9.0,30,0.0,12042,0.0,17919,8,9955,59730
29,1957,535450190,50,RL,8064,Pave,3,Lvl,3,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,2.0,1.0,0.0,1.0,0.0,672.0,672.0,GasA,5,1,4,672,252,0,924,0.0,0.0,1,0,3,1,3,6,7,1,1.0,1.0,2.0,576.0,3.0,3.0,2,0,0,0,0,0,0,0.0,3.0,2000,7,2007,WD ,122900,12,9.0,35,9.0,14049,1152.0,5544,3,4620,32340
30,380,527355150,20,RL,9600,Pave,3,Lvl,3,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4.0,3.0,1.0,5.0,1104.0,1.0,0.0,1420.0,2524.0,GasA,3,1,4,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,7,1,4.0,3.0,2.0,542.0,3.0,3.0,2,474,120,0,0,0,0,0.0,3.0,0,7,2009,WD ,278000,12,12.0,40,9.0,14063,1084.0,22716,8,20192,100960
31,2860,909276010,70,RL,11435,Pave,2,HLS,3,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,GasA,2,1,4,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,7,2,4.0,1.0,2.0,400.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,6,2006,WD ,230000,9,12.0,56,9.0,12036,800.0,10619,3,12136,84952
32,2517,533250130,120,RL,9549,Pave,2,Lvl,3,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4.0,4.0,3.0,2.0,437.0,6.0,1057.0,0.0,1494.0,GasA,5,1,4,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,7,1,4.0,3.0,2.0,481.0,3.0,3.0,2,0,30,0,0,216,0,0.0,0.0,0,4,2006,WD ,270000,16,16.0,40,9.0,8024,962.0,8964,2,11952,59760
33,1933,535302070,20,RL,10950,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,441.0,1.0,0.0,507.0,948.0,GasA,3,1,4,948,0,0,948,0.0,0.0,1,0,2,1,3,5,7,0,0.0,1.0,2.0,410.0,3.0,3.0,0,0,48,0,0,0,0,0.0,0.0,0,4,2007,WD ,125000,9,9.0,36,9.0,8028,820.0,4740,2,5688,34128
34,820,906340110,20,RL,10637,Pave,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5.0,3.0,4.0,6.0,1288.0,1.0,0.0,417.0,1705.0,GasA,5,1,4,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,7,1,4.0,0.0,3.0,826.0,3.0,3.0,2,208,44,0,0,0,0,0.0,0.0,0,9,2009,WD ,297000,12,15.0,40,9.0,18081,2478.0,12026,6,13744,68720
35,675,535426150,20,RL,9000,Pave,2,HLS,3,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4.0,3.0,4.0,1.0,0.0,1.0,0.0,160.0,160.0,GasA,2,1,4,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,7,1,4.0,0.0,1.0,384.0,3.0,3.0,2,0,28,64,0,0,0,0.0,0.0,0,4,2009,WD ,113500,9,12.0,36,9.0,8036,384.0,5710,2,6852,41112
36,2910,923225240,160,RM,2665,Pave,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3.0,3.0,1.0,5.0,548.0,3.0,173.0,36.0,757.0,GasA,5,1,4,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,7,1,3.0,0.0,1.0,336.0,3.0,3.0,2,104,26,0,0,0,0,0.0,0.0,0,7,2006,WD ,127000,9,9.0,30,9.0,14042,336.0,8850,8,7375,44250
37,21,527358140,20,RL,11751,Pave,2,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4.0,3.0,1.0,4.0,705.0,1.0,0.0,1139.0,1844.0,GasA,5,1,4,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,7,1,3.0,0.0,2.0,546.0,3.0,3.0,2,0,122,0,0,0,0,0.0,3.0,0,1,2010,COD,190000,9,12.0,36,9.0,2010,1092.0,12908,6,11064,66384
38,1873,534177210,20,RL,9600,Pave,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3.0,3.0,1.0,5.0,916.0,1.0,0.0,326.0,1242.0,GasA,2,1,4,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,7,1,3.0,1.0,2.0,528.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,9,2007,WD ,175500,9,9.0,42,9.0,18063,1056.0,7452,3,8694,52164
39,2125,907135050,20,RL,8428,Pave,1,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4.0,4.0,1.0,6.0,420.0,1.0,0.0,570.0,990.0,GasA,5,1,4,990,0,0,990,1.0,0.0,1,0,3,1,3,5,7,0,0.0,1.0,1.0,384.0,3.0,3.0,2,256,0,0,0,0,0,0.0,0.0,0,7,2007,WD ,146000,12,16.0,35,9.0,14049,384.0,4950,3,4950,34650
40,1489,908102260,20,RL,9937,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3.0,3.0,1.0,4.0,830.0,2.0,290.0,136.0,1256.0,GasA,4,1,4,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,7,0,0.0,3.0,1.0,276.0,3.0,3.0,2,736,68,0,0,0,0,0.0,0.0,0,6,2008,WD ,147500,12,9.0,30,9.0,12048,276.0,7536,3,6280,37680
42,983,923275040,85,RL,9101,Pave,2,Lvl,3,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4.0,3.0,3.0,6.0,1097.0,1.0,0.0,0.0,1097.0,GasA,5,1,4,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,7,1,3.0,3.0,2.0,602.0,3.0,3.0,2,303,30,0,0,0,0,0.0,0.0,0,7,2009,WD ,165500,12,12.0,30,9.0,14063,1204.0,4440,1,5550,33300
43,1325,902406090,50,RM,12150,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1050.0,1050.0,GasA,5,0,2,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,7,0,0.0,1.0,1.0,352.0,2.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,11,2008,WD ,131500,9,9.0,25,6.0,22088,352.0,12565,8,8975,44875
44,1378,905102170,20,RL,11200,Pave,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,1040.0,GasA,5,1,4,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,7,0,0.0,1.0,1.0,384.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,2,2008,WD ,129500,9,9.0,25,9.0,4016,384.0,5200,3,5200,26000
45,1537,909281110,70,RL,9670,Pave,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3.0,2.0,1.0,2.0,210.0,1.0,0.0,398.0,608.0,GasA,3,1,4,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,7,2,4.0,3.0,2.0,786.0,2.0,3.0,2,0,0,207,0,0,0,0.0,0.0,0,6,2008,WD ,257076,9,6.0,48,6.0,12048,1572.0,16857,4,14984,89904
46,905,909101140,50,RL,10998,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,408.0,4.0,420.0,156.0,984.0,GasA,5,1,4,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,5,0,0.0,1.0,2.0,660.0,3.0,3.0,2,0,68,0,0,0,0,0.0,0.0,0,7,2009,WD ,117000,9,9.0,25,9.0,14063,1320.0,9624,6,8020,40100
47,1532,909275050,70,RL,7200,Pave,3,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4.0,3.0,1.0,1.0,0.0,1.0,0.0,776.0,776.0,GasA,3,1,4,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,7,1,4.0,0.0,1.0,270.0,3.0,3.0,1,0,0,112,0,0,0,0.0,3.0,0,2,2008,WD ,149000,6,12.0,42,9.0,4016,270.0,9012,3,10514,63084
